Code,Party,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename
AUS,Australia,Australia First NDC (Updated submission),NDC,English,3,Archived,2021-10-28,https://unfccc.int/sites/default/files/NDC/2022-06/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf,Australia Nationally Determined Contribution Update October 2021 WEB.pdf
AUS,Australia,Australia NDC 2022 Update,NDC,English,4,Active,2022-06-16,https://unfccc.int/sites/default/files/NDC/2022-06/Australias%20NDC%20June%202022%20Update%20%283%29.pdf,Australias NDC June 2022 Update (3).pdf
AUT,Austria,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
AUT,Austria,EU First NDC (Archived),NDC,English,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
AUT,Austria,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
AUT,Austria,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
AZE,Azerbaijan,Azerbaijan NDC 3.0,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/NDC%203.0%20Report_Azerbaijan.pdf,NDC 3.0 Report_Azerbaijan.pdf
AZE,Azerbaijan,Azerbaijan First NDC,NDC,English,1,Archived,2017-01-09,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Azerbaijan.pdf,INDC Azerbaijan.pdf
AZE,Azerbaijan,Updated Nationally Determined Contribution of the Republic of Azerbaijan,NDC,English,2,Active,2023-10-10,https://unfccc.int/sites/default/files/NDC/2023-10/Second%20NDC_Azerbaijan_ENG_Final%20%281%29.pdf,Second NDC_Azerbaijan_ENG_Final (1).pdf
BHS,Bahamas,Bahamas NDC 3.0,NDC,English,,Active,2025-11-07,https://unfccc.int/sites/default/files/2025-11/The%20Bahamas%20NDC%203.0.pdf,The Bahamas NDC 3.0.pdf
BHS,Bahamas,Bahamas First NDC,NDC,English,1,Archived,2016-10-31,https://unfccc.int/sites/default/files/NDC/2022-06/Bahamas_COP-22%20UNFCCC.pdf,Bahamas_COP-22 UNFCCC.pdf
BHS,Bahamas,"Bahamas Updated Nationally Determined Contributions, 2022",NDC,English,2,Active,2022-11-07,https://unfccc.int/sites/default/files/NDC/2022-11/Bahamas%20Updated%20Nationally%20Determined%20Contributio,Bahamas Updated Nationally Determined Contributio
BHR,Bahrain,Bahrain NDC 3.0,NDC,English,,Active,2025-12-01,https://unfccc.int/sites/default/files/2025-12/30112025_Bahrain_2025NDC3.0_vSubmitted.pdf,30112025_Bahrain_2025NDC3.0_vSubmitted.pdf
BHR,Bahrain,Bahrain First NDC (Archived),NDC,English,1,Archived,2016-12-30,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_Kingdom_of_Bahrain.pdf,INDC_Kingdom_of_Bahrain.pdf
BHR,Bahrain,Bahrain First NDC (Updated submission),NDC,English,2,Active,2021-10-18,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20of%20the%20Kingdom%20of%20Bahrain%20under%20UNFCCC.pdf,NDC of the Kingdom of Bahrain under UNFCCC.pdf
BGD,Bangladesh,Forwarding,Addendum,English,2,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/Forwarding.pdf,Forwarding.pdf
BGD,Bangladesh,Bangladesh NDC 3.0,NDC,English,,Active,2025-09-29,https://unfccc.int/sites/default/files/2025-09/Bangladesh%20Third%20Nationally%20Determined%20Contribution%20%28NDC%203.0%29.pdf,Bangladesh Third Nationally Determined Contribution (NDC 3.0).pdf
BGD,Bangladesh,Bangladesh First NDC (Archived),NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_2015_of_Bangladesh.pdf,INDC_2015_of_Bangladesh.pdf
BGD,Bangladesh,Bangladesh First NDC (Interim-Updated submission),NDC,English,2,Archived,2020-12-31,https://unfccc.int/sites/default/files/NDC/2022-06/Updated_NDC_of_Bangladesh.pdf,Updated_NDC_of_Bangladesh.pdf
BGD,Bangladesh,Bangladesh First NDC (Updated submission),NDC,English,3,Active,2021-08-26,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_submission_20210826revised.pdf,NDC_submission_20210826revised.pdf
BRB,Barbados,Barbados 2025 Second Nationally Determined Contribution,NDC,English,,Active,2025-08-30,https://unfccc.int/sites/default/files/2025-09/Barbados%20Second%20NDC.pdf,Barbados Second NDC.pdf
BRB,Barbados,Barbados First NDC (Archived),NDC,English,1,Archived,2016-04-22,https://unfccc.int/sites/default/files/NDC/2022-06/Barbados%20INDC%20FINAL%20September%20%2028%2C%202015.pdf,"Barbados INDC FINAL September  28, 2015.pdf"
