Code,Party,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename
CAF,Central African Republic,Central African Republic First NDC (Archived),NDC,French,1,Archived,2016-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN_R%C3%A9publique%20Centrafricaine.pdf,CPDN_République Centrafricaine.pdf
CAF,Central African Republic,Central African Republic First NDC (Updated submission),NDC,French,2,Active,2022-01-24,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20RCA.pdf,CDN Revisée RCA.pdf
CAF,Central African Republic,Central African Republic First NDC (Archived),Translation,English,1,Archived,2016-10-11,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_R%C3%A9publique%20Centrafricaine_EN.pdf,INDC_République Centrafricaine_EN.pdf
TCD,Chad,Chad First NDC (Archived),NDC,French,1,Archived,2017-01-12,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20TCHAD%20Version%20officielle%2028%20sept%202015.pdf,CPDN TCHAD Version officielle 28 sept 2015.pdf
TCD,Chad,Chad First NDC (Updated submission),NDC,French,2,Active,2021-10-19,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20ACTUALISEE%20DU%20TCHAD.pdf,CDN ACTUALISEE DU TCHAD.pdf
TCD,Chad,Chad First NDC (Archived),Translation,English,1,Archived,2017-01-12,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Chad_Official%20version_English.pdf,INDC Chad_Official version_English.pdf
CHL,Chile,Chile's NDC Strengthening Annex,Addendum,Spanish,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-11/Chile_%20fortalecimiento%20NDC_nov22.pdf,Chile_ fortalecimiento NDC_nov22.pdf
CHL,Chile,Chile NDC 2025,NDC,Spanish,,Active,2025-09-23,https://unfccc.int/sites/default/files/2025-09/NDC-2025-220925%201.pdf,NDC-2025-220925 1.pdf
CHL,Chile,Chile First NDC (Archived),NDC,Spanish,1,Archived,2017-02-10,https://unfccc.int/sites/default/files/NDC/2022-06/Chile%20INDC%20FINAL.pdf,Chile INDC FINAL.pdf
CHL,Chile,Chile First NDC (Updated submission),NDC,Spanish,2,Active,2020-04-09,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Chile_2020_espan%CC%83ol.pdf,NDC_Chile_2020_español.pdf
CHL,Chile,Chile First NDC (Updated submission),NDC,English,2,Active,2020-04-09,https://unfccc.int/sites/default/files/NDC/2022-06/Chile%27s_NDC_2020_english.pdf,Chile's_NDC_2020_english.pdf
CHL,Chile,Chile First NDC (Archived),Translation,English,1,Archived,2017-02-10,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Chile%20english%20version.pdf,INDC Chile english version.pdf
CHN,China,China First NDC (Updated submission letter),Addendum,Chinese,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/cover%20letter.pdf,cover letter.pdf
CHN,China,Progress on the Implementation of China NDC 2022-Chinese,Addendum,Chinese,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-11/%E4%B8%AD%E5%9B%BD%E8%90%BD%E5%AE%9E%E5%9B%BD%E5%AE%B6%E8%87%AA%E4%B8%BB%E8%B4%A1%E7%8C%AE%E8%BF%9B%E5%B1%95%E6%8A%A5%E5%91%8A%202022.pdf,中国落实国家自主贡献进展报告 2022.pdf
CHN,China,Progress on the Implementation of China NDC 2022,Addendum,English,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-11/Progress%20of%20China%20NDC%202022.pdf,Progress of China NDC 2022.pdf
CHN,China,China’s 2035 National Determined Contributions,NDC,Chinese,,Active,2025-11-03,https://unfccc.int/sites/default/files/2025-11/2035%E5%B9%B4%E4%B8%AD%E5%9B%BD%E5%9B%BD%E5%AE%B6%E8%87%AA%E4%B8%BB%E8%B4%A1%E7%8C%AE%E6%8A%A5%E5%91%8A.pdf,2035年中国国家自主贡献报告.pdf
CHN,China,China First NDC (Archived),NDC,English,1,Archived,2016-09-03,https://unfccc.int/sites/default/files/NDC/2022-06/China%27s%20First%20NDC%20Submission.pdf,China's First NDC Submission.pdf
CHN,China,China First NDC (Updated submission),NDC,Chinese,2,Active,2021-10-28,https://unfccc.int/sites/default/files/NDC/2022-06/%E4%B8%AD%E5%9B%BD%E8%90%BD%E5%AE%9E%E5%9B%BD%E5%AE%B6%E8%87%AA%E4%B8%BB%E8%B4%A1%E7%8C%AE%E6%88%90%E6%95%88%E5%92%8C%E6%96%B0%E7%9B%AE%E6%A0%87%E6%96%B0%E4%B8%BE%E6%8E%AA.pdf,中国落实国家自主贡献成效和新目标新举措.pdf
CHN,China,China First NDC (Updated submission),Translation,English,2,Active,2021-10-28,https://unfccc.int/sites/default/files/NDC/2022-06/China%E2%80%99s%20Achievements%2C%20New%20Goals%20and%20New%20Measures%20for%20Nationally%20Determined%20Contributions.pdf,"China’s Achievements, New Goals and New Measures for Nationally Determined Contributions.pdf"
COL,Colombia,20.12.30 S-GAA-20-027081 NDC,Addendum,Spanish,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/20.12.30%20S-GAA-20-027081%20NDC.pdf,20.12.30 S-GAA-20-027081 NDC.pdf
COL,Colombia,Colombia NDC 3.0,NDC,Spanish,,Active,2025-12-19,https://unfccc.int/sites/default/files/2025-12/NDC%203.0%20Transformaciones%20para%20la%20Vida%20%28Colombia%29.pdf,NDC 3.0 Transformaciones para la Vida (Colombia).pdf
COL,Colombia,Colombia NDC 3.0,NDC,Spanish,,Archived,2025-09-25,https://unfccc.int/sites/default/files/2025-09/NDC%203.0%20Declarativa%20Colombia%20Transformaciones%20para%20la%20Vida%20V.25.09.2025%20Gob.%20Nacional.pdf,NDC 3.0 Declarativa Colombia Transformaciones para la Vida V.25.09.2025 Gob. Nacional.pdf
COL,Colombia,Colombia First NDC (Archived),NDC,Spanish,1,Archived,2018-07-12,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Colombia.pdf,INDC Colombia.pdf
COL,Colombia,Colombia First NDC-Technical Annex (Updated submission),NDC,Spanish,2,Active,2020-12-30,https://unfccc.int/sites/default/files/NDC/2022-06/Adjunto%202.%20%20Medidas%20de%20mitigaci%C3%B3n_NDC%20de%20Colombia%202020.pdf,Adjunto 2.  Medidas de mitigación_NDC de Colombia 2020.pdf
COL,Colombia,Colombia First NDC-Technical Annex (Updated submission),NDC,Spanish,2,Active,2020-12-30,https://unfccc.int/sites/default/files/NDC/2022-06/Adjunto%201.%20Metas%20de%20adaptaci%C3%B3n_NDC%20de%20Colombia%202020.pdf,Adjunto 1. Metas de adaptación_NDC de Colombia 2020.pdf
COL,Colombia,Colombia First NDC (Updated submission),NDC,Spanish,2,Active,2020-12-30,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20actualizada%20de%20Colombia.pdf,NDC actualizada de Colombia.pdf
COL,Colombia,Colombia First NDC (Archived),Translation,English,1,Archived,2018-07-12,https://unfccc.int/sites/default/files/NDC/2022-06/Colombia%20iNDC%20Unofficial%20translation%20Eng.pdf,Colombia iNDC Unofficial translation Eng.pdf
COM,Comoros,Comoros First NDC (Archived),NDC,French,1,Archived,2016-11-23,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_Comores_Version_Francaise.pdf,INDC_Comores_Version_Francaise.pdf
COM,Comoros,Comoros First NDC (Updated submission),NDC,French,2,Active,2021-11-05,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_r%C3%A9vis%C3%A9e_Comores_vf.pdf,CDN_révisée_Comores_vf.pdf
COG,Congo,Submission letter,Addendum,French,2,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/Lettre%20de%20transmission.pdf,Lettre de transmission.pdf
COG,Congo,Congo First NDC (Archived),NDC,French,1,Archived,2017-04-21,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_Congo_RAPPORT.pdf,NDC_Congo_RAPPORT.pdf
COG,Congo,Congo First NDC (Updated submission),NDC,French,2,Active,2021-08-02,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_Congo.pdf,CDN_Congo.pdf
COK,Cook Islands,Cook Islands First NDC,NDC,English,1,Active,2016-09-01,https://unfccc.int/sites/default/files/NDC/2022-06/Cook%20Islands%20INDCsFINAL7Nov.pdf,Cook Islands INDCsFINAL7Nov.pdf
CRI,Costa Rica,Costa Rica NDC 2025 - 2035,NDC,Spanish,,Active,2025-11-14,https://unfccc.int/sites/default/files/2025-11/CND-2025-2035.pdf,CND-2025-2035.pdf
CRI,Costa Rica,Costa Rica First NDC (Archived),NDC,Spanish,1,Archived,2016-10-13,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Costa%20Rica%20Version%202%200%20final%20ES.pdf,INDC Costa Rica Version 2 0 final ES.pdf
CRI,Costa Rica,Costa Rica First NDC (Updated submission),NDC,Spanish,2,Archived,2020-12-11,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20Costa%20Rica%202020%20-%20Contribuci%C3%B3n%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Metas%20titulares.pdf,NDC Costa Rica 2020 - Contribución Nacionalmente Determinada de Costa Rica 2020 - Metas titulares.pdf
CRI,Costa Rica,Costa Rica First NDC (Updated submission),NDC,Spanish,3,Active,2020-12-29,https://unfccc.int/sites/default/files/NDC/2022-06/Contribucio%CC%81n%20Nacionalmente%20Determinada%20de%20Costa%20Rica%202020%20-%20Versio%CC%81n%20Completa.pdf,Contribución Nacionalmente Determinada de Costa Rica 2020 - Versión Completa.pdf
CRI,Costa Rica,Costa Rica First NDC-English Translation (Archived),Translation,English,1,Archived,2016-10-13,https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20Costa%20Rica%20Version%202%200%20final%20ENG.pdf,INDC Costa Rica Version 2 0 final ENG.pdf
HRV,Croatia,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
HRV,Croatia,EU First NDC,NDC,English,1,Archived,2017-05-24,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
HRV,Croatia,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
HRV,Croatia,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
CUB,Cuba,Cuba NDC 3.0,NDC,Spanish,,Active,2025-02-27,https://unfccc.int/sites/default/files/2025-02/REPUBLICA%20DE%20CUBA%20CND3.0.pdf,REPUBLICA DE CUBA CND3.0.pdf
CUB,Cuba,Cuba First NDC (Archived),NDC,Spanish,1,Archived,2016-12-30,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Cuba-NDCs-Nov2015.pdf,Republic of Cuba-NDCs-Nov2015.pdf
CUB,Cuba,Cuba First NDC (Updated submission),NDC,Spanish,2,Active,2020-09-17,https://unfccc.int/sites/default/files/NDC/2022-06/Cuban%20First%20NDC%20%28Updated%20submission%29.pdf,Cuban First NDC (Updated submission).pdf
CUB,Cuba,Cuba First NDC Summary (Updated submission),Translation,English,2,Active,2020-09-17,https://unfccc.int/sites/default/files/NDC/2022-06/Cuban%20First%20NDC%20Summary%20%28Updated%20submission%29.pdf,Cuban First NDC Summary (Updated submission).pdf
CUB,Cuba,Cuba First NDC (Updated submission),Translation,English,2,Active,2020-09-17,https://unfccc.int/sites/default/files/NDC/2022-06/Cuban%20First%20NDC%20%28Updated%20submission%291.pdf,Cuban First NDC (Updated submission)1.pdf
CYP,Cyprus,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
CYP,Cyprus,EU First NDC (Archived),NDC,English,1,Archived,2017-01-04,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
CYP,Cyprus,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
CYP,Cyprus,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
CZE,Czechia,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
CZE,Czechia,EU First NDC (Archived),NDC,English,1,Archived,2017-10-05,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
CZE,Czechia,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
CZE,Czechia,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
CIV,Côte d'Ivoire,Côte D'Ivoire NDC 3.0,NDC,French,,Active,2025-10-29,https://unfccc.int/sites/default/files/2025-10/CDN%203.0%20COTE%20D%27IVOIRE.pdf,CDN 3.0 COTE D'IVOIRE.pdf
CIV,Côte d'Ivoire,Côte d'Ivoire First NDC,NDC,French,1,Archived,2016-10-25,https://unfccc.int/sites/default/files/NDC/2022-06/INDC_CI_22092015.pdf,INDC_CI_22092015.pdf
CIV,Côte d'Ivoire,NDC COTE D'IVOIRE SUBMISSION,NDC,French,2,Active,2022-05-09,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_CIV_2022.pdf,CDN_CIV_2022.pdf
PRK,Democratic People's Republic of Korea,Democratic People's Republic of Korea First NDC(Archived),NDC,English,1,Archived,2016-10-03,https://unfccc.int/sites/default/files/NDC/2022-06/DPRK-INDC%20by%202030.pdf,DPRK-INDC by 2030.pdf
PRK,Democratic People's Republic of Korea,Democratic People's Republic of Korea First NDC (Updated submission),NDC,English,2,Active,2019-09-19,https://unfccc.int/sites/default/files/NDC/2022-06/2019.09.19_DPRK%20letter%20to%20SG%20special%20envoy%20for%20NDC.pdf,2019.09.19_DPRK letter to SG special envoy for NDC.pdf
COD,Democratic Republic of the Congo,Democratic Republic of the Congo First NDC (Archived),NDC,French,1,Archived,2017-12-13,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20-%20R%C3%A9p%20D%C3%A9m%20du%20Congo.pdf,CPDN - Rép Dém du Congo.pdf
COD,Democratic Republic of the Congo,Democratic Republic of the Congo First NDC (Updated submission),NDC,French,2,Active,2021-12-28,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9e%20de%20la%20RDC.pdf,CDN Revisée de la RDC.pdf
DNK,Denmark,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
DNK,Denmark,EU First NDC (Archived),NDC,English,1,Archived,2016-11-01,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
DNK,Denmark,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
DNK,Denmark,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
DJI,Djibouti,Djibouti Second NDC,NDC,French,,Active,2025-11-12,https://unfccc.int/sites/default/files/2025-11/CDN%20revisee_Djibouti_Novembre%202025.pdf,CDN revisee_Djibouti_Novembre 2025.pdf
DJI,Djibouti,Djibouti First NDC,NDC,French,1,Active,2016-11-11,https://unfccc.int/sites/default/files/NDC/2022-06/CPDN%20Djibouti_9%20-%20CPDN%20-%20Format%20pour%20soumission%20CCNUCC.pdf,CPDN Djibouti_9 - CPDN - Format pour soumission CCNUCC.pdf
DJI,Djibouti,Djibouti First NDC,Translation,English,1,Active,2016-11-11,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-Djibouti_ENG.pdf,INDC-Djibouti_ENG.pdf
DMA,Dominica,Dominica First NDC,NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Commonwealth%20of%20Dominica-%20Intended%20Nationally%20Determined%20Contributions%20%28INDC%29.pdf,Commonwealth of Dominica- Intended Nationally Determined Contributions (INDC).pdf
DMA,Dominica,The Commonwealth of Dominica Updated National Determined Contribution,NDC,English,2,Active,2022-07-04,https://unfccc.int/sites/default/files/2022-07/The%20Commonwealth%20of%20Dominica%20updated%20NDC%20July%204%20%2C.pdf,"The Commonwealth of Dominica updated NDC July 4 ,.pdf"
DOM,Dominican Republic,Dominican Republic First NDC (Archived),NDC,Spanish,1,Archived,2017-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-RD%20Agosto%202015%20%28espa%C3%B1ol%29.pdf,INDC-RD Agosto 2015 (español).pdf
DOM,Dominican Republic,Dominican Republic First NDC (Updated submission),NDC,Spanish,2,Active,2020-12-29,https://unfccc.int/sites/default/files/NDC/2022-06/Dominican%20Republic%20First%20NDC%20%28Updated%20Submission%29.pdf,Dominican Republic First NDC (Updated Submission).pdf
DOM,Dominican Republic,Dominican Republic First NDC (Archived),Translation,English,1,Archived,2017-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-DR%20August%202015%20%28unofficial%20translation%29.pdf,INDC-DR August 2015 (unofficial translation).pdf
ECU,Ecuador,Ecuador Second NDC,NDC,Spanish,,Active,2025-02-06,https://unfccc.int/sites/default/files/2025-02/Segunda%20NDC%20de%20Ecuador.pdf,Segunda NDC de Ecuador.pdf
ECU,Ecuador,Ecuador First NDC,NDC,Spanish,1,Active,2019-03-29,https://unfccc.int/sites/default/files/NDC/2022-06/Primera%20NDC%20Ecuador.pdf,Primera NDC Ecuador.pdf
EGY,Egypt,Egypt First NDC,NDC,English,1,Archived,2017-06-29,https://unfccc.int/sites/default/files/NDC/2022-06/Egyptian%20INDC.pdf,Egyptian INDC.pdf
EGY,Egypt,EGYPT'S FIRST UPDATED NATIONALLY DETERMINED CONTRIBUTIONS,NDC,English,2,Archived,2022-07-07,https://unfccc.int/sites/default/files/NDC/2022-07/Egypt%20Updated%20NDC.pdf.pdf,Egypt Updated NDC.pdf.pdf
EGY,Egypt,Egypt’s Updated First Nationally Determined Contribution 2030 (Second Update),NDC,English,3,Active,2023-06-26,https://unfccc.int/sites/default/files/NDC/2023-06/Egypts%20Updated%20First%20Nationally%20Determined%20Contribution%202030%20%28Second%20Update%29.pdf,Egypts Updated First Nationally Determined Contribution 2030 (Second Update).pdf
SLV,El Salvador,El Salvador First NDC (Updated submission letter),Addendum,Spanish,3,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/47.%20DCC-UCC-%20072-2021%20UNFCCC%20Remisi%C3%B3n%20NDC%20ACTUALIZADA%20%20El%20Salvador%20Dic%202021.pdf,47. DCC-UCC- 072-2021 UNFCCC Remisión NDC ACTUALIZADA  El Salvador Dic 2021.pdf
SLV,El Salvador,El Salvador First NDC (Archived),NDC,Spanish,1,Archived,2017-03-27,https://unfccc.int/sites/default/files/NDC/2022-06/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION.pdf,EL SALVADOR-INTENDED NATIONALLY DETERMINED CONTRIBUTION.pdf
SLV,El Salvador,El Salvador First NDC (Archived),NDC,Spanish,2,Archived,2017-10-30,https://unfccc.int/sites/default/files/NDC/2022-06/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION%20B.pdf,EL SALVADOR-INTENDED NATIONALLY DETERMINED CONTRIBUTION B.pdf
SLV,El Salvador,El Salvador First NDC (Updated submission),NDC,Spanish,3,Active,2022-01-04,https://unfccc.int/sites/default/files/NDC/2022-06/El%20Salvador%20NDC-%20Updated%20Dic.2021.pdf,El Salvador NDC- Updated Dic.2021.pdf
GNQ,Equatorial Guinea,Equatorial Guinea First NDC,NDC,Spanish,1,Archived,2018-10-30,https://unfccc.int/sites/default/files/NDC/2022-06/Rep%C3%BAblica%20de%20Guinea%20Ecuatorial_INDC.pdf,República de Guinea Ecuatorial_INDC.pdf
GNQ,Equatorial Guinea,Equatorial Guinea NDC 2022 Update,NDC,Spanish,2,Active,2022-10-24,https://unfccc.int/sites/default/files/NDC/2022-10/CND-GuineaEcuatorial-Version2022-Actualizada.pdf,CND-GuineaEcuatorial-Version2022-Actualizada.pdf
ERI,Eritrea,Eritrea First NDC,NDC,English,1,Active,2018-06-19,https://unfccc.int/sites/default/files/NDC/2022-06/NRC%20Eritrea.pdf,NRC Eritrea.pdf
EST,Estonia,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
EST,Estonia,EU First NDC (Archived),NDC,English,1,Archived,2016-11-04,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
EST,Estonia,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
EST,Estonia,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
SWZ,Eswatini,Eswatini NDC 3.0,NDC,English,,Active,2025-09-22,https://unfccc.int/sites/default/files/2025-09/Eswatini%20NDC%203.0%20Report_for%20Submission%20-FINAL%20f.pdf,Eswatini NDC 3.0 Report_for Submission -FINAL f.pdf
SWZ,Eswatini,Eswatini First NDC (Archived),NDC,English,1,Archived,2016-09-21,https://unfccc.int/sites/default/files/NDC/2022-06/Eswatini%27s%20INDC.pdf,Eswatini's INDC.pdf
SWZ,Eswatini,Eswatini First NDC (Updated submission),NDC,English,2,Active,2021-10-12,https://unfccc.int/sites/default/files/NDC/2022-06/Eswatini%27s%20Revised%20NDC%2012%20Oct%202021.docx,Eswatini's Revised NDC 12 Oct 2021.docx
ETH,Ethiopia,NDC cover Letter,Addendum,English,1,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/NDC%20cover%20Letter.pdf,NDC cover Letter.pdf
ETH,Ethiopia,Ethiopia First NDC (Updated submission),Addendum,English,1,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/Ethiopia%27s%20NDC%20update%20summary%202020.pdf,Ethiopia's NDC update summary 2020.pdf
ETH,Ethiopia,Ethiopia NDC 3.0,NDC,English,,Active,2025-09-26,https://unfccc.int/sites/default/files/2025-09/Ethiopia%20NDC%203.0%20Final.pdf,Ethiopia NDC 3.0 Final.pdf
ETH,Ethiopia,Ethiopia First NDC (Archived),NDC,English,1,Archived,2017-03-09,https://unfccc.int/sites/default/files/NDC/2022-06/INDC-Ethiopia-100615.pdf,INDC-Ethiopia-100615.pdf
ETH,Ethiopia,Ethiopia First NDC (Updated submission),NDC,English,2,Active,2021-07-23,https://unfccc.int/sites/default/files/NDC/2022-06/Ethiopia%27s%20updated%20NDC%20JULY%202021%20Submission_.pdf,Ethiopia's updated NDC JULY 2021 Submission_.pdf
EUU,European Union (EU),The nationally determined contribution of the European Union and its Member States (EU NDC),NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
EUU,European Union (EU),European Union First NDC (Archived),NDC,English,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
EUU,European Union (EU),European Union First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
EUU,European Union (EU),EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
FJI,Fiji,Fiji NDC 3.0,NDC,English,,Active,2025-11-06,https://unfccc.int/sites/default/files/2025-11/Fiji%20NDC3.0_Final.pdf,Fiji NDC3.0_Final.pdf
FJI,Fiji,Fiji First NDC (Archived),NDC,English,1,Archived,2016-04-22,https://unfccc.int/sites/default/files/NDC/2022-06/FIJI_iNDC_Final_051115.pdf,FIJI_iNDC_Final_051115.pdf
FJI,Fiji,Fiji First NDC (Updated submission),NDC,English,2,Active,2020-12-31,https://unfccc.int/sites/default/files/NDC/2022-06/Republic%20of%20Fiji%27s%20Updated%20NDC%2020201.pdf,Republic of Fiji's Updated NDC 20201.pdf
FIN,Finland,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
FIN,Finland,EU First NDC (Archived),NDC,English,1,Archived,2016-11-14,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
FIN,Finland,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
FIN,Finland,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
FRA,France,France First NDC-Complement (Archived),Addendum,French,1,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20France%20PTOM%20-%205%20octobre%202016.pdf,CDN France PTOM - 5 octobre 2016.pdf
FRA,France,France First NDC-Complement (Updated submission),Addendum,French,2,Archived,,https://unfccc.int/sites/default/files/NDC/2022-06/FR%20CDN%20addendum%20r%C3%A9vis%C3%A9%20-%202021.pdf,FR CDN addendum révisé - 2021.pdf
FRA,France,FR CDN addendum révisé - 2021,Addendum,French,3,Active,,https://unfccc.int/sites/default/files/NDC/2022-06/FR%20CDN%20addendum%20r%C3%A9vis%C3%A9%20-%202021.pdf,FR CDN addendum révisé - 2021.pdf
FRA,France,The NDC of the European Union and its Member States,NDC,English,,Active,2025-11-05,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf,DK-2025-11-05 EU NDC.pdf
FRA,France,EU First NDC (Archived),NDC,English,1,Archived,2016-10-05,https://unfccc.int/sites/default/files/LV-03-06-EU%20INDC.pdf,LV-03-06-EU INDC.pdf
FRA,France,EU First NDC (Updated submission),NDC,English,2,Archived,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf,EU_NDC_Submission_December 2020.pdf
FRA,France,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf
